Date,YSB,Temp,RH,RF
08-03-2019,5,26.85,72.5,0
09-03-2019,0,27.25,78,0
10-03-2019,0,27.2,66,0
11-03-2019,2,27.45,58,0
12-03-2019,3,28.9,60.5,0
13-03-2019,0,30,75.5,0
14-03-2019,0,28.6,75,0
15-03-2019,0,27.1,81.5,0
16-03-2019,7,26,66.5,10
17-03-2019,0,25.55,68,0
18-03-2019,2,25.1,58,0
19-03-2019,9,28.25,60.5,0
20-03-2019,8,28.25,65.5,0
21-03-2019,7,28.5,56.5,0
22-03-2019,7,29.3,68,0
23-03-2019,0,29.15,68,0
24-03-2019,0,29.15,76,0
25-03-2019,8,27.65,75.5,0
26-03-2019,3,30,60,0
27-03-2019,4,28.6,62.5,0
28-03-2019,2,30.25,73.5,0
29-03-2019,4,29.9,75,0
30-03-2019,0,31,75.5,0
31-03-2019,0,31.15,61,0
01-04-2019,2,29.25,51.5,0
02-04-2019,0,30.75,78,0
03-04-2019,3,30.1,72.5,0
04-04-2019,0,30.5,74.5,0
05-04-2019,0,30.7,68.5,0
06-04-2019,0,30.6,73,0
07-04-2019,0,30.6,72.5,0
08-04-2019,0,29.7,89,0
09-04-2019,1,29.85,69.5,0
10-04-2019,6,29.8,68.5,0
11-04-2019,4,31.2,73.5,0
12-04-2019,5,30.1,73.5,0
13-04-2019,0,31,69.5,0
14-04-2019,0,30.8,67,0
15-04-2019,0,31.8,68.5,0
16-04-2019,0,31.75,67,0
17-04-2019,0,31.65,66,0
18-04-2019,0,30.5,66.5,0
19-04-2019,0,30.4,68.5,0
20-04-2019,0,29.1,60,8
21-04-2019,0,30.3,74,0
22-04-2019,0,29.6,73,26
23-04-2019,0,29.6,75.5,6
24-04-2019,0,30.25,76.5,0
25-04-2019,0,32,67,0
26-04-2019,0,32.5,72.5,0
27-04-2019,0,31.6,69,0
28-04-2019,0,32.5,73.5,0
29-04-2019,0,32.5,75.5,0
30-04-2019,0,32,73.5,0
01-05-2019,0,31.5,72,0
02-05-2019,0,29.9,79,0
03-05-2019,0,29.5,82.5,0
04-05-2019,0,23,87,151
05-05-2019,0,31,78,0
06-05-2019,0,31.4,72,0
07-05-2019,0,32.5,75,26
08-05-2019,0,32.3,77,0
09-05-2019,0,31.5,75.5,0
10-05-2019,0,30.6,80,0
11-05-2019,0,32,77.5,0
12-05-2019,0,32.9,77,0
13-05-2019,0,31.5,67.5,0
14-05-2019,0,31.25,71,0
15-05-2019,0,31.5,75.5,0
16-05-2019,0,30,72.5,13
17-05-2019,0,31.5,74,0
18-05-2019,0,32.5,76.5,0
19-05-2019,0,33,66.5,0
20-05-2019,0,33.1,74.5,0
21-05-2019,0,31.15,76.5,0
22-05-2019,0,31.75,72.5,0
23-05-2019,0,32.1,78,0
24-05-2019,0,32.7,76,0
25-05-2019,0,33.3,81,0
26-05-2019,0,33.6,80.5,0
27-05-2019,0,33.35,78.5,0
28-05-2019,0,33.3,74.5,0
